company,brand_strength,average_time,recr_eff,assets_2021,assets_2022,net_inc_2022,roa
1C,"20,10%","13,8958333333333","0,0719640179910","8202,234","10717,375","3235,174","34,1991634182%"
1C-Rarus,"15,20%","18,4485294117647","0,0542048624950","410,697","425,937","38,054","9,0969288841%"
2GIS,"80,20%","11,1172413793103","0,0899503722084","8608,547","10711,221","1350,115","13,9765135896%"
36.6,"14,90%","14,0000000000000","0,0714285714286","76114501,000","76331605,000","-120,677","-0,0001583209%"
Accenture,"82,00%","17,6275862068966","0,0567292644757","3217960,343","3495836,641","516938,426","15,3992868012%"
Alfa Bank,"58,40%","15,2380952380952","0,0656250000000","5616931,885","5818046,073","-117073,002","-2,0476296925%"
Aviasales,"93,90%","1,7692307692308","0,5652173913043","426,588","639,146","78,149","14,6657608747%"
Avito,"76,10%","14,8091603053435","0,0675257731959","11210,785","33636,091","11924,718","53,1797042006%"
Bank Otkritie,"19,90%","14,7619047619048","0,0677419354839","3202660,656","3368352,138","21668,492","0,6595175715%"
Bars Group,"24,30%","16,3389830508475","0,0612033195021","2406,959","2058,459","550,399","24,6516227596%"
Beeline,"18,50%","4,2491803278689","0,2353395061728",573159,491079,-35116,"-6,5992757259%"
Bell Integrator,"26,60%","17,7514450867052","0,0563334418756","1975,547","2383,477","65,449","3,0029199197%"
Business solutions and technologies,"66,00%","16,0500000000000","0,0623052959502","2767,778","6450,283","-286,171","-6,2089196416%"
Center of Financial Technologies,"48,20%","14,4162162162162","0,0693663292088","2415,614","2179,961","1525,541","66,3917355282%"
Central Bank of the Russian Federation,"14,90%","16,9855072463768","0,0588737201365","52412392,000","47223254,000","-721717,000","-1,4487124417%"
CROC,"49,50%","10,1809523809524","0,0982226379794","16805,281","21383,679","516,714","2,7060909750%"
Digital Economy League,"33,90%","14,2155172413793","0,0703456640388","3,868","2,514","0,586","18,3641491695%"
Dodo,"80,10%","18,2307692307692","0,0548523206751","2814,760","3382,002","367,330","11,8555464935%"
EPAM,"62,00%","22,0000000000000","0,0454545454545","262591,393","296536,854","31022,104","11,0965971095%"
ER-Telecom,"12,20%","18,4642857142857","0,0541586073501","119808,036","132168,21","1161,402","0,9218345129%"
